treatment,test_mode,cohort_config,problem,uses_cohorts,solutions_found,total_runs,min_solution_size,evaluation
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,compare-string-lengths,1,5,50,12,26214400
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,compare-string-lengths,1,4,50,15,26214400
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,compare-string-lengths,1,1,50,12,26214400
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,compare-string-lengths,1,5,50,12,26214400
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,compare-string-lengths,1,3,50,21,26214400
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,compare-string-lengths,1,6,50,13,26214400
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,compare-string-lengths,1,4,50,31,26214400
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,compare-string-lengths,1,11,50,12,26214400
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,compare-string-lengths,1,6,50,12,26214400
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,compare-string-lengths,1,6,50,15,26214400
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,compare-string-lengths,1,5,50,19,26214400
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,compare-string-lengths,1,10,50,16,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,median,1,36,50,10,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,median,1,1,50,30,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,median,1,19,50,12,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,median,1,32,50,10,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,median,1,30,50,11,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,median,1,19,50,10,26214400
PROBLEM_median__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,median,1,34,50,10,26214400
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,median,1,40,50,10,26214400
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,median,1,24,50,10,26214400
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,median,1,48,50,10,26214400
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,median,1,33,50,11,26214400
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,median,1,50,50,10,26214400
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,median,1,36,50,10,26214400
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,median,1,1,50,12,26214400
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,median,1,1,50,41,26214400
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,median,1,1,50,24,26214400
PROBLEM_median__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,median,1,1,50,59,26214400
PROBLEM_median__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,median,1,2,50,43,26214400
PROBLEM_median__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,median,1,4,50,10,26214400
PROBLEM_median__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,median,1,0,50,NONE,26214400
PROBLEM_median__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,median,1,3,50,24,26214400
PROBLEM_median__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,median,1,2,50,24,26214400
PROBLEM_median__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,median,1,1,50,47,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,small-or-large,1,2,50,13,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,small-or-large,1,1,50,18,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,small-or-large,1,1,50,16,26214400
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,small-or-large,1,2,50,36,26214400
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,small-or-large,1,1,50,21,26214400
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,small-or-large,1,0,50,NONE,26214400
PROBLEM_small-or-large__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,small-or-large,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,smallest,1,23,50,12,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,smallest,1,40,50,10,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,smallest,1,16,50,12,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,smallest,1,44,50,10,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,smallest,1,33,50,10,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,smallest,1,38,50,10,26214400
PROBLEM_smallest__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,smallest,1,33,50,11,26214400
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,smallest,1,14,50,10,26214400
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,smallest,1,44,50,10,26214400
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,smallest,1,19,50,11,26214400
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,smallest,1,48,50,10,26214400
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,smallest,1,27,50,10,26214400
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,smallest,1,50,50,11,26214400
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,smallest,1,36,50,11,26214400
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,smallest,1,1,50,59,26214400
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,smallest,1,2,50,25,26214400
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,smallest,1,1,50,8,26214400
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,smallest,1,3,50,20,26214400
PROBLEM_smallest__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,smallest,1,6,50,14,26214400
PROBLEM_smallest__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,smallest,1,0,50,NONE,26214400
PROBLEM_smallest__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,smallest,1,5,50,11,26214400
PROBLEM_smallest__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,smallest,1,3,50,27,26214400
PROBLEM_smallest__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,smallest,1,5,50,12,26214400
PROBLEM_smallest__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,smallest,1,2,50,14,26214400
PROBLEM_smallest__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,smallest,1,3,50,12,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,for-loop-index,1,24,50,13,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,for-loop-index,1,18,50,10,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,for-loop-index,1,4,50,10,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,for-loop-index,1,29,50,5,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,for-loop-index,1,12,50,10,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,for-loop-index,1,21,50,5,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,for-loop-index,1,16,50,10,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,for-loop-index,1,28,50,11,26214400
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,for-loop-index,1,19,50,11,26214400
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,for-loop-index,1,45,50,10,26214400
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,for-loop-index,1,29,50,10,26214400
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,for-loop-index,1,50,50,10,26214400
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,for-loop-index,1,7,50,10,26214400
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,for-loop-index,1,33,50,10,26214400
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,for-loop-index,1,11,50,10,26214400
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,for-loop-index,1,41,50,10,26214400
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,for-loop-index,1,22,50,10,26214400
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,for-loop-index,1,0,50,NONE,26214400
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,for-loop-index,1,2,50,16,26214400
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,for-loop-index,1,1,50,16,26214400
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,for-loop-index,1,3,50,13,26214400
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,for-loop-index,1,0,50,NONE,26214400
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,for-loop-index,1,2,50,6,26214400
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,for-loop-index,1,0,50,NONE,26214400
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,for-loop-index,1,0,50,NONE,26214400
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,for-loop-index,1,4,50,14,26214400
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,for-loop-index,1,2,50,17,26214400
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,for-loop-index,1,0,50,NONE,26214400
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,for-loop-index,1,2,50,6,26214400
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,for-loop-index,1,4,50,11,26214400
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,for-loop-index,1,2,50,17,26214400
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,for-loop-index,1,5,50,13,26214400
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,for-loop-index,1,1,50,28,26214400
